"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.655286872E0,3.857999802E1,-1.505999947E1,3.377999878E1,5.344443983E1
2.663251960E0,3.845999908E1,-1.523999977E1,3.425999832E1,5.371384000E1
2.671156013E0,3.881999969E1,-1.529999924E1,3.371999741E1,5.364811812E1
2.679151618E0,3.929999924E1,-1.542000008E1,3.323999786E1,5.373233477E1
2.687055671E0,3.954000092E1,-1.511999989E1,3.281999969E1,5.356471272E1
2.694959724E0,3.984000015E1,-1.529999924E1,3.245999908E1,5.361871995E1
2.702924812E0,3.977999878E1,-1.542000008E1,3.305999756E1,5.397395802E1
2.710828865E0,3.954000092E1,-1.571999931E1,3.341999817E1,5.410569590E1
2.718763435E0,3.954000092E1,-1.619999886E1,3.402000046E1,5.461878858E1
2.726606452E0,3.954000092E1,-1.602000046E1,3.425999832E1,5.471562457E1
2.734510505E0,3.923999786E1,-1.559999943E1,3.359999847E1,5.396385190E1
2.742475593E0,3.959999847E1,-1.517999935E1,3.336000061E1,5.395814953E1
2.750379646E0,3.977999878E1,-1.517999935E1,3.347999954E1,5.416448147E1
2.758344734E0,3.965999985E1,-1.523999977E1,3.318000031E1,5.390812185E1
2.766218269E0,3.971999741E1,-1.577999973E1,3.384000015E1,5.451451363E1
2.774152839E0,3.947999954E1,-1.602000046E1,3.377999878E1,5.437277900E1
2.782117927E0,3.936000061E1,-1.547999954E1,3.420000076E1,5.439191195E1
2.790021980E0,3.954000092E1,-1.565999985E1,3.431999969E1,5.464896748E1
2.797987068E0,3.936000061E1,-1.547999954E1,3.413999939E1,5.435420492E1
2.805799568E0,3.936000061E1,-1.583999920E1,3.479999924E1,5.487399356E1
2.813673103E0,3.941999817E1,-1.607999992E1,3.431999969E1,5.468423020E1
2.821638191E0,3.965999985E1,-1.583999920E1,3.450000000E1,5.490055703E1
2.829542243E0,3.977999878E1,-1.596000004E1,3.431999969E1,5.490930962E1
2.837446296E0,4.020000076E1,-1.577999973E1,3.365999985E1,5.475439747E1
2.845289314E0,3.984000015E1,-1.607999992E1,3.371999741E1,5.461529305E1
2.853223884E0,3.954000092E1,-1.596000004E1,3.395999908E1,5.451068530E1
2.861188972E0,3.959999847E1,-1.602000046E1,3.402000046E1,5.460916338E1
2.869154060E0,3.954000092E1,-1.571999931E1,3.443999863E1,5.474160718E1
2.877119148E0,3.971999741E1,-1.583999920E1,3.479999924E1,5.513278258E1
2.885023201E0,4.013999939E1,-1.589999962E1,3.461999893E1,5.534052642E1
2.892927253E0,4.013999939E1,-1.602000046E1,3.473999786E1,5.545022468E1
2.900922859E0,3.984000015E1,-1.613999939E1,3.450000000E1,5.511783008E1
2.908826911E0,3.995999908E1,-1.602000046E1,3.402000046E1,5.487077886E1
2.916761482E0,3.929999924E1,-1.619999886E1,3.395999908E1,5.440782518E1
2.924604499E0,3.954000092E1,-1.607999992E1,3.413999939E1,5.465818903E1
2.932508552E0,3.971999741E1,-1.607999992E1,3.402000046E1,5.471384672E1
2.940473640E0,3.941999817E1,-1.607999992E1,3.438000107E1,5.472190719E1
2.948408210E0,4.002000046E1,-1.589999962E1,3.402000046E1,5.487960328E1
2.956373298E0,3.977999878E1,-1.596000004E1,3.377999878E1,5.457342047E1
2.964277351E0,3.965999985E1,-1.589999962E1,3.395999908E1,5.458028136E1
2.972211921E0,3.965999985E1,-1.577999973E1,3.347999954E1,5.424789718E1
2.980177009E0,3.965999985E1,-1.565999985E1,3.377999878E1,5.439889246E1
2.988111579E0,3.984000015E1,-1.583999920E1,3.402000046E1,5.473108457E1
2.996046150E0,3.971999741E1,-1.613999939E1,3.402000046E1,5.473151017E1
3.003889167E0,4.007999802E1,-1.607999992E1,3.450000000E1,5.527406841E1
3.011793220E0,4.007999802E1,-1.631999969E1,3.468000031E1,5.545674938E1
3.019758308E0,3.995999908E1,-1.577999973E1,3.486000061E1,5.532657192E1
3.027662361E0,4.013999939E1,-1.589999962E1,3.479999924E1,5.545330906E1
3.035657966E0,4.037999725E1,-1.626000023E1,3.479999924E1,5.573124557E1
3.043562019E0,4.020000076E1,-1.631999969E1,3.491999817E1,5.569370452E1
3.051527107E0,4.073999786E1,-1.655999947E1,3.515999985E1,5.630458771E1
3.059492195E0,4.055999756E1,-1.644000053E1,3.527999878E1,5.621445840E1
3.067457283E0,4.013999939E1,-1.619999886E1,3.497999954E1,5.565303120E1
3.075422370E0,3.959999847E1,-1.607999992E1,3.491999817E1,5.519177972E1
3.083265388E0,3.905999756E1,-1.631999969E1,3.473999786E1,5.476215163E1
3.091169441E0,3.911999893E1,-1.644000053E1,3.455999756E1,5.472697110E1
3.099134529E0,3.936000061E1,-1.685999870E1,3.473999786E1,5.513924787E1
3.107099617E0,3.995999908E1,-1.673999977E1,3.473999786E1,5.553284227E1
3.115064704E0,4.050000000E1,-1.655999947E1,3.438000107E1,5.564591679E1
3.122938240E0,4.020000076E1,-1.631999969E1,3.413999939E1,5.520798864E1
3.130903327E0,3.959999847E1,-1.583999920E1,3.395999908E1,5.451923506E1
3.138898933E0,3.929999924E1,-1.589999962E1,3.354000092E1,5.405766911E1
3.146864021E0,3.887999725E1,-1.577999973E1,3.354000092E1,5.371772742E1
3.154829109E0,3.911999893E1,-1.583999920E1,3.359999847E1,5.394663834E1
3.162672126E0,3.923999786E1,-1.583999920E1,3.420000076E1,5.440885093E1
3.170576179E0,3.954000092E1,-1.571999931E1,3.407999802E1,5.451583546E1
3.178541267E0,3.941999817E1,-1.571999931E1,3.407999802E1,5.442886090E1
3.186445320E0,3.918000031E1,-1.559999943E1,3.413999939E1,5.425838151E1
3.194379890E0,3.936000061E1,-1.559999943E1,3.377999878E1,5.416325274E1
3.202253425E0,3.929999924E1,-1.613999939E1,3.443999863E1,5.469097755E1
3.210157478E0,3.977999878E1,-1.583999920E1,3.407999802E1,5.472476717E1
3.218122566E0,3.971999741E1,-1.571999931E1,3.420000076E1,5.472144575E1
3.226057136E0,3.977999878E1,-1.571999931E1,3.384000015E1,5.454092309E1
3.233991706E0,3.971999741E1,-1.547999954E1,3.311999893E1,5.398372819E1
3.241834724E0,3.941999817E1,-1.553999996E1,3.329999924E1,5.389172296E1
3.249738777E0,3.971999741E1,-1.529999924E1,3.311999893E1,5.393238823E1
3.257703865E0,3.959999847E1,-1.523999977E1,3.275999832E1,5.360629592E1
3.265607917E0,3.977999878E1,-1.481999969E1,3.305999756E1,5.380561432E1
3.273542488E0,3.941999817E1,-1.463999939E1,3.300000000E1,5.345339875E1
3.281385505E0,3.954000092E1,-1.505999947E1,3.311999893E1,5.373220250E1
3.289289558E0,3.947999954E1,-1.488000011E1,3.311999893E1,5.363785134E1
3.297254646E0,3.923999786E1,-1.488000011E1,3.323999786E1,5.353586923E1
3.305158699E0,3.977999878E1,-1.517999935E1,3.281999969E1,5.375902774E1
3.313093269E0,3.977999878E1,-1.511999989E1,3.281999969E1,5.374211644E1
3.320966804E0,3.965999985E1,-1.529999924E1,3.305999756E1,5.385136027E1
3.328870857E0,3.947999954E1,-1.535999966E1,3.311999893E1,5.377298841E1
3.336835945E0,3.905999756E1,-1.517999935E1,3.347999954E1,5.363791718E1
3.344739997E0,3.893999863E1,-1.500000000E1,3.305999756E1,5.323802148E1
3.352674568E0,3.905999756E1,-1.475999928E1,3.318000031E1,5.333341737E1
3.360578620E0,3.936000061E1,-1.505999947E1,3.281999969E1,5.341503170E1
3.368482673E0,3.971999741E1,-1.535999966E1,3.245999908E1,5.354679565E1
3.376447761E0,3.959999847E1,-1.511999989E1,3.270000076E1,5.353563603E1
3.384351814E0,3.989999771E1,-1.511999989E1,3.288000107E1,5.386760329E1
3.392286384E0,3.965999985E1,-1.523999977E1,3.323999786E1,5.394507057E1
3.400159919E0,3.936000061E1,-1.505999947E1,3.371999741E1,5.397269177E1
3.408063972E0,3.918000031E1,-1.553999996E1,3.365999985E1,5.394033382E1
3.416029060E0,3.887999725E1,-1.577999973E1,3.347999954E1,5.368028453E1
3.423933113E0,3.881999969E1,-1.542000008E1,3.347999954E1,5.353203852E1
3.431867683E0,3.887999725E1,-1.553999996E1,3.329999924E1,5.349799748E1
3.439710701E0,3.911999893E1,-1.577999973E1,3.389999771E1,5.411647210E1
3.447614753E0,3.923999786E1,-1.583999920E1,3.431999969E1,5.448435910E1
3.455579841E0,3.941999817E1,-1.607999992E1,3.468000031E1,5.491088302E1
3.463483894E0,3.923999786E1,-1.607999992E1,3.504000092E1,5.501041260E1
3.471418464E0,3.936000061E1,-1.589999962E1,3.486000061E1,5.492940268E1
3.479261482E0,3.965999985E1,-1.553999996E1,3.450000000E1,5.481475337E1
3.487165534E0,3.971999741E1,-1.547999954E1,3.395999908E1,5.450312026E1
3.495130622E0,3.989999771E1,-1.571999931E1,3.354000092E1,5.444318008E1
3.503034675E0,3.995999908E1,-1.571999931E1,3.354000092E1,5.448716883E1
3.510969245E0,3.971999741E1,-1.602000046E1,3.377999878E1,5.454729073E1
3.518812263E0,4.007999802E1,-1.637999916E1,3.384000015E1,5.495321850E1
3.526716316E0,4.002000046E1,-1.577999973E1,3.407999802E1,5.488219286E1
3.534681404E0,3.995999908E1,-1.565999985E1,3.407999802E1,5.480404535E1
3.542615974E0,4.013999939E1,-1.553999996E1,3.389999771E1,5.478978915E1
3.550581062E0,3.989999771E1,-1.529999924E1,3.384000015E1,5.450913138E1
3.558393562E0,4.037999725E1,-1.542000008E1,3.395999908E1,5.496910149E1
3.566297615E0,4.068000031E1,-1.559999943E1,3.365999985E1,5.505649822E1
3.574262702E0,4.037999725E1,-1.589999962E1,3.359999847E1,5.488455214E1
3.582166755E0,4.013999939E1,-1.613999939E1,3.389999771E1,5.496297823E1
3.590101326E0,3.959999847E1,-1.602000046E1,3.311999893E1,5.405307228E1
3.597944343E0,3.929999924E1,-1.602000046E1,3.371999741E1,5.420487598E1
3.605848396E0,3.959999847E1,-1.583999920E1,3.377999878E1,5.440729520E1
3.613813484E0,3.959999847E1,-1.553999996E1,3.323999786E1,5.398656255E1
3.621748054E0,3.947999954E1,-1.559999943E1,3.323999786E1,5.391593275E1
3.629682624E0,3.954000092E1,-1.547999954E1,3.288000107E1,5.370415746E1
3.637556159E0,3.911999893E1,-1.505999947E1,3.288000107E1,5.327543872E1
3.645460212E0,3.893999863E1,-1.511999989E1,3.305999756E1,5.327195630E1
3.653455818E0,3.911999893E1,-1.542000008E1,3.389999771E1,5.401259634E1
3.661359870E0,3.911999893E1,-1.529999924E1,3.389999771E1,5.397845994E1
3.669324958E0,3.929999924E1,-1.577999973E1,3.371999741E1,5.413443042E1
3.677198493E0,3.947999954E1,-1.571999931E1,3.384000015E1,5.432250319E1
3.685102546E0,3.965999985E1,-1.596000004E1,3.389999771E1,5.456048968E1
3.693098152E0,3.954000092E1,-1.589999962E1,3.365999985E1,5.430669618E1
3.701032722E0,3.954000092E1,-1.571999931E1,3.407999802E1,5.451583546E1
3.708997810E0,3.995999908E1,-1.577999973E1,3.431999969E1,5.498792865E1
3.716840827E0,4.013999939E1,-1.565999985E1,3.407999802E1,5.493542947E1
3.724744880E0,4.050000000E1,-1.559999943E1,3.395999908E1,5.510799869E1
3.732709968E0,4.031999969E1,-1.553999996E1,3.365999985E1,5.477398620E1
3.740614021E0,4.007999802E1,-1.553999996E1,3.384000015E1,5.470871457E1
3.748579109E0,3.995999908E1,-1.547999954E1,3.365999985E1,5.449245363E1
3.756452644E0,3.965999985E1,-1.571999931E1,3.438000107E1,5.479067840E1
3.764356697E0,3.984000015E1,-1.577999973E1,3.402000046E1,5.471374996E1
3.772321784E0,3.959999847E1,-1.596000004E1,3.384000015E1,5.447960252E1
3.780225837E0,3.941999817E1,-1.607999992E1,3.413999939E1,5.457144135E1
3.788160408E0,3.965999985E1,-1.626000023E1,3.425999832E1,5.487304147E1
3.796003425E0,3.941999817E1,-1.673999977E1,3.486000061E1,5.522122319E1
3.803907478E0,3.941999817E1,-1.644000053E1,3.515999985E1,5.532120265E1
3.811872566E0,3.936000061E1,-1.661999893E1,3.486000061E1,5.514212233E1
3.819776618E0,3.929999924E1,-1.661999893E1,3.455999756E1,5.490999668E1
3.827711189E0,3.947999954E1,-1.631999969E1,3.443999863E1,5.487373014E1
3.835615242E0,3.954000092E1,-1.637999916E1,3.354000092E1,5.437506512E1
3.843519294E0,3.954000092E1,-1.619999886E1,3.323999786E1,5.413639343E1
3.851514900E0,3.954000092E1,-1.583999920E1,3.305999756E1,5.391920516E1
3.859449470E0,3.959999847E1,-1.553999996E1,3.263999939E1,5.361922265E1
3.867414558E0,3.995999908E1,-1.559999943E1,3.347999954E1,5.441573190E1
3.875257576E0,4.037999725E1,-1.542000008E1,3.384000015E1,5.489504705E1
3.883161628E0,4.037999725E1,-1.547999954E1,3.402000046E1,5.502304058E1
3.891126716E0,4.020000076E1,-1.542000008E1,3.450000000E1,5.517305922E1
3.899030769E0,4.025999832E1,-1.523999977E1,3.384000015E1,5.475646691E1
3.906965339E0,3.954000092E1,-1.542000008E1,3.365999985E1,5.416810560E1
3.914838874E0,3.954000092E1,-1.547999954E1,3.323999786E1,5.392531424E1
3.922773445E0,3.971999741E1,-1.596000004E1,3.300000000E1,5.404997498E1
3.930769050E0,3.929999924E1,-1.577999973E1,3.336000061E1,5.391092628E1
3.938703620E0,3.947999954E1,-1.559999943E1,3.377999878E1,5.425051763E1
3.946668708E0,3.911999893E1,-1.583999920E1,3.407999802E1,5.424689997E1
3.954511726E0,3.918000031E1,-1.565999985E1,3.461999893E1,5.457886354E1
3.962415779E0,3.965999985E1,-1.565999985E1,3.450000000E1,5.484889409E1
3.970380867E0,4.002000046E1,-1.602000046E1,3.443999863E1,5.517566816E1
3.978284919E0,4.002000046E1,-1.571999931E1,3.461999893E1,5.520202117E1
3.986250007E0,3.984000015E1,-1.571999931E1,3.438000107E1,5.492111128E1
3.994154060E0,3.936000061E1,-1.607999992E1,3.455999756E1,5.479205669E1
4.002088630E0,3.936000061E1,-1.602000046E1,3.443999863E1,5.469884430E1
4.010114753E0,3.977999878E1,-1.589999962E1,3.431999969E1,5.489189986E1
4.018049324E0,3.995999908E1,-1.553999996E1,3.384000015E1,5.462086356E1
4.026014411E0,3.977999878E1,-1.500000000E1,3.336000061E1,5.404015122E1
4.033887947E0,3.923999786E1,-1.451999950E1,3.323999786E1,5.343692802E1
4.041791999E0,3.893999863E1,-1.457999992E1,3.318000031E1,5.319598022E1
4.049757087E0,3.929999924E1,-1.493999958E1,3.359999847E1,5.382056693E1
4.057661140E0,3.947999954E1,-1.529999924E1,3.377999878E1,5.416501323E1
4.065626228E0,3.954000092E1,-1.523999977E1,3.354000092E1,5.404258438E1
4.073530281E0,3.954000092E1,-1.529999924E1,3.281999969E1,5.361580018E1
4.081464851E0,3.929999924E1,-1.517999935E1,3.270000076E1,5.333115759E1
4.089460456E0,3.900000000E1,-1.511999989E1,3.245999908E1,5.294587743E1
4.097395027E0,3.941999817E1,-1.511999989E1,3.263999939E1,5.336590871E1
4.105329597E0,3.923999786E1,-1.542000008E1,3.354000092E1,5.387472038E1
4.113203132E0,3.918000031E1,-1.553999996E1,3.323999786E1,5.367924628E1
4.121107185E0,3.900000000E1,-1.542000008E1,3.336000061E1,5.358792815E1
4.129072273E0,3.911999893E1,-1.559999943E1,3.365999985E1,5.391409731E1
4.136976326E0,3.954000092E1,-1.511999989E1,3.323999786E1,5.382307616E1
4.144910896E0,3.900000000E1,-1.523999977E1,3.354000092E1,5.364875818E1
4.152784431E0,3.947999954E1,-1.547999954E1,3.377999878E1,5.421613291E1
4.160688484E0,3.923999786E1,-1.565999985E1,3.341999817E1,5.386937261E1
4.168653572E0,3.900000000E1,-1.613999939E1,3.323999786E1,5.372519929E1
4.176557624E0,3.954000092E1,-1.547999954E1,3.323999786E1,5.392531424E1
4.184522712E0,3.971999741E1,-1.523999977E1,3.305999756E1,5.387855998E1
4.192396247E0,3.947999954E1,-1.488000011E1,3.300000000E1,5.356383824E1
4.200330818E0,3.989999771E1,-1.446000004E1,3.318000031E1,5.387034285E1
4.208295906E0,4.043999863E1,-1.488000011E1,3.323999786E1,5.442155226E1
4.216199958E0,3.977999878E1,-1.511999989E1,3.407999802E1,5.452072050E1
4.224134529E0,4.002000046E1,-1.523999977E1,3.486000061E1,5.521845409E1
4.232008064E0,3.959999847E1,-1.535999966E1,3.570000076E1,5.548494862E1
4.239942634E0,3.918000031E1,-1.505999947E1,3.654000092E1,5.565112465E1
4.247907722E0,3.977999878E1,-1.505999947E1,3.725999832E1,5.654696598E1
4.255842292E0,3.954000092E1,-1.511999989E1,3.768000031E1,5.667281969E1
4.263776863E0,3.900000000E1,-1.535999966E1,3.731999969E1,5.612229474E1
4.271619880E0,3.900000000E1,-1.559999943E1,3.659999847E1,5.571283398E1
4.279523933E0,3.905999756E1,-1.571999931E1,3.539999771E1,5.500874136E1
4.287489021E0,3.881999969E1,-1.619999886E1,3.450000000E1,5.440296260E1
4.295393074E0,3.954000092E1,-1.626000023E1,3.389999771E1,5.456197508E1
4.303327644E0,3.936000061E1,-1.655999947E1,3.354000092E1,5.429894006E1
4.311231697E0,3.918000031E1,-1.637999916E1,3.354000092E1,5.411384719E1
4.319166267E0,3.941999817E1,-1.602000046E1,3.365999985E1,5.425469805E1
4.327161872E0,3.954000092E1,-1.553999996E1,3.384000015E1,5.431435245E1
4.335096443E0,4.002000046E1,-1.547999954E1,3.425999832E1,5.490881812E1
4.343061531E0,4.007999802E1,-1.565999985E1,3.384000015E1,5.474292143E1
4.350904548E0,4.013999939E1,-1.602000046E1,3.395999908E1,5.496491157E1
4.358808601E0,3.977999878E1,-1.631999969E1,3.395999908E1,5.479116928E1
4.366773689E0,3.959999847E1,-1.602000046E1,3.395999908E1,5.457180436E1
4.374677742E0,3.965999985E1,-1.535999966E1,3.420000076E1,5.457550027E1
4.382612312E0,3.954000092E1,-1.523999977E1,3.407999802E1,5.437936677E1
4.390485847E0,3.977999878E1,-1.493999958E1,3.420000076E1,5.454623674E1
4.398389900E0,3.965999985E1,-1.542000008E1,3.420000076E1,5.459241744E1
4.406354988E0,3.936000061E1,-1.602000046E1,3.431999969E1,5.462336901E1
4.414289558E0,3.977999878E1,-1.607999992E1,3.407999802E1,5.479471658E1
4.422254646E0,3.954000092E1,-1.631999969E1,3.431999969E1,5.484173996E1
4.430128181E0,3.989999771E1,-1.619999886E1,3.455999756E1,5.521633102E1
4.438032234E0,4.002000046E1,-1.602000046E1,3.420000076E1,5.502618380E1
4.445997322E0,3.984000015E1,-1.589999962E1,3.438000107E1,5.497290308E1
4.453901374E0,4.031999969E1,-1.571999931E1,3.413999939E1,5.512132357E1
4.461866462E0,3.977999878E1,-1.553999996E1,3.354000092E1,5.430351336E1
4.469770515E0,3.965999985E1,-1.571999931E1,3.365999985E1,5.434178462E1
4.477705085E0,3.954000092E1,-1.577999973E1,3.389999771E1,5.442085913E1
4.485700691E0,3.923999786E1,-1.631999969E1,3.395999908E1,5.440038015E1
4.493635261E0,3.923999786E1,-1.644000053E1,3.407999802E1,5.451144205E1
4.501630867E0,3.923999786E1,-1.596000004E1,3.438000107E1,5.455715816E1
4.509504402E0,3.923999786E1,-1.583999920E1,3.407999802E1,5.433350046E1
4.517408454E0,3.941999817E1,-1.523999977E1,3.425999832E1,5.440534288E1
4.525373542E0,3.947999954E1,-1.505999947E1,3.438000107E1,5.447438317E1
4.533277595E0,3.984000015E1,-1.523999977E1,3.420000076E1,5.467287497E1
4.541242683E0,4.002000046E1,-1.523999977E1,3.450000000E1,5.499189058E1
4.549116218E0,3.995999908E1,-1.571999931E1,3.450000000E1,5.508329969E1
4.557020271E0,3.971999741E1,-1.535999966E1,3.438000107E1,5.473200395E1
4.565015876E0,3.959999847E1,-1.589999962E1,3.438000107E1,5.479921843E1
4.572950447E0,3.941999817E1,-1.596000004E1,3.384000015E1,5.434890493E1
4.580915534E0,3.941999817E1,-1.565999985E1,3.365999985E1,5.414949160E1
4.588819587E0,3.971999741E1,-1.637999916E1,3.347999954E1,5.446919254E1
4.596754158E0,3.965999985E1,-1.637999916E1,3.365999985E1,5.453636906E1
4.604749763E0,3.959999847E1,-1.655999947E1,3.407999802E1,5.480729629E1
4.612653816E0,3.893999863E1,-1.661999893E1,3.420000076E1,5.442598561E1
4.620618904E0,3.857999802E1,-1.607999992E1,3.438000107E1,5.411993272E1
4.628492439E0,3.857999802E1,-1.596000004E1,3.420000076E1,5.397015750E1
4.636427009E0,3.870000076E1,-1.565999985E1,3.420000076E1,5.396819162E1
4.644392097E0,3.918000031E1,-1.571999931E1,3.402000046E1,5.421762844E1
4.652296150E0,3.947999954E1,-1.596000004E1,3.450000000E1,5.480549211E1
4.660261238E0,3.954000092E1,-1.571999931E1,3.479999924E1,5.496880932E1
4.668104255E0,3.947999954E1,-1.613999939E1,3.479999924E1,5.504734227E1
4.676069343E0,3.893999863E1,-1.613999939E1,3.521999741E1,5.492969407E1
4.684125984E0,3.947999954E1,-1.619999886E1,3.486000061E1,5.510290346E1
4.692030036E0,3.954000092E1,-1.607999992E1,3.479999924E1,5.507284283E1
4.699995124E0,3.947999954E1,-1.559999943E1,3.407999802E1,5.443782335E1
4.707899177E0,3.989999771E1,-1.559999943E1,3.371999741E1,5.451979480E1
4.715833747E0,3.977999878E1,-1.565999985E1,3.365999985E1,5.441212629E1
4.723859870E0,3.941999817E1,-1.547999954E1,3.347999954E1,5.398589641E1
4.731794441E0,3.984000015E1,-1.511999989E1,3.347999954E1,5.419179253E1
4.739759529E0,3.954000092E1,-1.517999935E1,3.323999786E1,5.383996202E1
4.747663581E0,3.936000061E1,-1.505999947E1,3.323999786E1,5.367411564E1
4.755598152E0,3.929999924E1,-1.559999943E1,3.341999817E1,5.389569741E1
4.763593757E0,3.893999863E1,-1.577999973E1,3.347999954E1,5.372375875E1
4.771497810E0,3.918000031E1,-1.547999954E1,3.359999847E1,5.388564472E1
4.779462898E0,3.959999847E1,-1.517999935E1,3.323999786E1,5.388403954E1
4.787366951E0,3.984000015E1,-1.523999977E1,3.300000000E1,5.393035514E1
4.795301521E0,4.025999832E1,-1.517999935E1,3.336000061E1,5.444437056E1
4.803266609E0,4.050000000E1,-1.517999935E1,3.354000092E1,5.473220297E1
4.811201179E0,4.050000000E1,-1.505999947E1,3.438000107E1,5.521809538E1
4.819196784E0,4.073999786E1,-1.439999962E1,3.438000107E1,5.521858282E1
4.827070320E0,4.031999969E1,-1.446000004E1,3.450000000E1,5.500039978E1
4.834974372E0,4.020000076E1,-1.475999928E1,3.443999863E1,5.495462806E1
4.842939460E0,3.977999878E1,-1.523999977E1,3.377999878E1,5.436721635E1
4.850843513E0,3.959999847E1,-1.583999920E1,3.413999939E1,5.463153862E1
4.858778083E0,3.959999847E1,-1.577999973E1,3.359999847E1,5.427824765E1
4.866682136E0,3.911999893E1,-1.596000004E1,3.359999847E1,5.398199529E1
4.874616706E0,3.911999893E1,-1.547999954E1,3.371999741E1,5.391700036E1
4.882642829E0,3.911999893E1,-1.505999947E1,3.329999924E1,5.353566895E1
4.890577400E0,3.923999786E1,-1.517999935E1,3.354000092E1,5.380651888E1
4.898542488E0,3.989999771E1,-1.475999928E1,3.365999985E1,5.424816113E1
4.906446540E0,4.013999939E1,-1.481999969E1,3.359999847E1,5.440415278E1
4.914381111E0,4.002000046E1,-1.469999981E1,3.354000092E1,5.424594079E1
4.922376716E0,4.031999969E1,-1.475999928E1,3.354000092E1,5.448386564E1
4.930280769E0,4.013999939E1,-1.488000011E1,3.311999893E1,5.412548645E1
4.938245857E0,3.984000015E1,-1.529999924E1,3.347999954E1,5.424228939E1
4.946149909E0,3.989999771E1,-1.565999985E1,3.371999741E1,5.453699329E1
4.954084480E0,3.971999741E1,-1.607999992E1,3.384000015E1,5.460210803E1
4.962110603E0,3.941999817E1,-1.644000053E1,3.425999832E1,5.475360589E1
4.970045173E0,3.965999985E1,-1.626000023E1,3.425999832E1,5.487304147E1
4.978010261E0,3.929999924E1,-1.596000004E1,3.420000076E1,5.448716907E1
4.985853279E0,3.893999863E1,-1.559999943E1,3.468000031E1,5.442780444E1
4.993757331E0,3.918000031E1,-1.511999989E1,3.438000107E1,5.427403886E1
5.001722419E0,3.893999863E1,-1.559999943E1,3.395999908E1,5.397189095E1
5.009626472E0,3.947999954E1,-1.613999939E1,3.413999939E1,5.463249493E1
5.017561042E0,3.941999817E1,-1.644000053E1,3.354000092E1,5.430599907E1
5.025434577E0,3.929999924E1,-1.685999870E1,3.336000061E1,5.423687986E1
5.033369148E0,3.936000061E1,-1.644000053E1,3.365999985E1,5.433671738E1
5.041364753E0,3.887999725E1,-1.655999947E1,3.336000061E1,5.384029541E1
5.049299324E0,3.929999924E1,-1.655999947E1,3.365999985E1,5.432972586E1
5.057264411E0,3.941999817E1,-1.631999969E1,3.365999985E1,5.434403588E1
5.065168464E0,3.911999893E1,-1.644000053E1,3.371999741E1,5.420042582E1
5.073072517E0,3.905999756E1,-1.583999920E1,3.389999771E1,5.409065380E1
5.081037605E0,3.893999863E1,-1.535999966E1,3.377999878E1,5.378978899E1
5.088941658E0,3.887999725E1,-1.517999935E1,3.389999771E1,5.377077656E1
5.096876228E0,3.936000061E1,-1.529999924E1,3.384000015E1,5.411511097E1
5.104780281E0,4.007999802E1,-1.571999931E1,3.384000015E1,5.476011532E1
5.112684333E0,4.002000046E1,-1.542000008E1,3.347999954E1,5.440852147E1
5.120679939E0,4.025999832E1,-1.553999996E1,3.354000092E1,5.465611334E1
5.128675544E0,4.013999939E1,-1.547999954E1,3.402000046E1,5.484715460E1
5.136640632E0,3.995999908E1,-1.535999966E1,3.384000015E1,5.456992511E1
5.144514167E0,3.977999878E1,-1.589999962E1,3.402000046E1,5.470483271E1
5.152418220E0,3.965999985E1,-1.577999973E1,3.377999878E1,5.443355856E1
5.160383308E0,3.977999878E1,-1.565999985E1,3.311999893E1,5.407973953E1
5.168287361E0,3.971999741E1,-1.559999943E1,3.300000000E1,5.394476968E1
5.176221931E0,3.977999878E1,-1.547999954E1,3.288000107E1,5.388110206E1
5.184125984E0,3.959999847E1,-1.559999943E1,3.311999893E1,5.393008614E1
5.192030036E0,3.929999924E1,-1.542000008E1,3.318000031E1,5.369523966E1
5.200025642E0,3.911999893E1,-1.547999954E1,3.336000061E1,5.369259114E1
5.207960212E0,3.918000031E1,-1.517999935E1,3.323999786E1,5.357613519E1
5.215925300E0,3.923999786E1,-1.529999924E1,3.300000000E1,5.350576987E1
5.223829353E0,3.936000061E1,-1.553999996E1,3.311999893E1,5.373672465E1
5.231763923E0,3.936000061E1,-1.553999996E1,3.305999756E1,5.369976430E1
5.239729011E0,3.977999878E1,-1.583999920E1,3.359999847E1,5.442714190E1
5.247633064E0,3.959999847E1,-1.577999973E1,3.354000092E1,5.424112768E1
5.255598152E0,3.989999771E1,-1.571999931E1,3.359999847E1,5.448016238E1
5.263502204E0,3.971999741E1,-1.565999985E1,3.336000061E1,5.418305482E1
5.271436775E0,3.929999924E1,-1.565999985E1,3.329999924E1,5.383879163E1
5.279432380E0,3.941999817E1,-1.589999962E1,3.377999878E1,5.429396431E1
5.287397468E0,3.887999725E1,-1.602000046E1,3.413999939E1,5.416487939E1
5.295362556E0,3.905999756E1,-1.626000023E1,3.438000107E1,5.451656161E1
5.303236091E0,3.929999924E1,-1.637999916E1,3.413999939E1,5.457411356E1
5.311140144E0,3.936000061E1,-1.644000053E1,3.395999908E1,5.452306671E1
5.319105232E0,3.936000061E1,-1.655999947E1,3.341999817E1,5.422489749E1
5.327009284E0,3.954000092E1,-1.650000000E1,3.365999985E1,5.448538577E1
5.334943855E0,3.941999817E1,-1.668000031E1,3.371999741E1,5.449033759E1
5.342817390E0,3.965999985E1,-1.655999947E1,3.407999802E1,5.485066485E1
