"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.182690500E-1,3.929999924E1,-1.500000000E1,3.167999840E1,5.266034788E1
6.261425850E-1,3.905999756E1,-1.505999947E1,3.197999954E1,5.268023694E1
6.340161200E-1,3.905999756E1,-1.505999947E1,3.234000015E1,5.289955201E1
6.420117260E-1,3.911999893E1,-1.469999981E1,3.227999878E1,5.280589581E1
6.499157790E-1,3.875999832E1,-1.475999928E1,3.245999908E1,5.266731993E1
6.578808670E-1,3.918000031E1,-1.446000004E1,3.252000046E1,5.293122382E1
6.657544020E-1,3.936000061E1,-1.421999931E1,3.263999939E1,5.307341697E1
6.736889720E-1,3.929999924E1,-1.439999962E1,3.311999893E1,5.337400358E1
6.816540600E-1,3.959999847E1,-1.439999962E1,3.263999939E1,5.329999464E1
6.896191480E-1,3.965999985E1,-1.481999969E1,3.252000046E1,5.338631293E1
6.975842360E-1,3.971999741E1,-1.481999969E1,3.245999908E1,5.339440163E1
7.053967360E-1,3.984000015E1,-1.481999969E1,3.204000092E1,5.322987565E1
7.133007880E-1,3.989999771E1,-1.475999928E1,3.197999954E1,5.322206090E1
7.212963940E-1,3.959999847E1,-1.446000004E1,3.221999741E1,5.306015184E1
7.292004470E-1,3.923999786E1,-1.463999939E1,3.252000046E1,5.302506430E1
7.371350170E-1,3.911999893E1,-1.469999981E1,3.245999908E1,5.291612090E1
7.450390700E-1,3.918000031E1,-1.493999958E1,3.275999832E1,5.321177972E1
7.529431220E-1,3.965999985E1,-1.505999947E1,3.257999802E1,5.348995646E1
7.609082100E-1,3.959999847E1,-1.505999947E1,3.215999985E1,5.319049777E1
7.688427810E-1,3.954000092E1,-1.505999947E1,3.257999802E1,5.340104425E1
7.767773510E-1,3.911999893E1,-1.535999966E1,3.288000107E1,5.336101926E1
7.846203680E-1,3.863999939E1,-1.529999924E1,3.293999863E1,5.303002017E1
7.925854560E-1,3.900000000E1,-1.529999924E1,3.341999817E1,5.359091578E1
8.005505440E-1,3.911999893E1,-1.529999924E1,3.336000061E1,5.364097253E1
8.084545970E-1,3.936000061E1,-1.500000000E1,3.293999863E1,5.347198479E1
8.163891670E-1,3.954000092E1,-1.529999924E1,3.293999863E1,5.368933934E1
8.243237380E-1,3.936000061E1,-1.542000008E1,3.281999969E1,5.351764597E1
8.322277900E-1,3.977999878E1,-1.511999989E1,3.281999969E1,5.374211644E1
8.402233960E-1,3.977999878E1,-1.517999935E1,3.300000000E1,5.386910695E1
8.481274490E-1,3.954000092E1,-1.475999928E1,3.281999969E1,5.346420888E1
8.560925360E-1,3.989999771E1,-1.469999981E1,3.311999893E1,5.389836863E1
8.639660720E-1,3.941999817E1,-1.517999935E1,3.318000031E1,5.371481226E1
8.719006420E-1,3.965999985E1,-1.505999947E1,3.305999756E1,5.378366490E1
8.798657300E-1,3.965999985E1,-1.500000000E1,3.329999924E1,5.391479887E1
8.878003000E-1,3.918000031E1,-1.475999928E1,3.300000000E1,5.330975523E1
8.957653880E-1,3.887999725E1,-1.457999992E1,3.270000076E1,5.285376651E1
9.036389230E-1,3.881999969E1,-1.475999928E1,3.281999969E1,5.293394313E1
9.115429760E-1,3.929999924E1,-1.500000000E1,3.252000046E1,5.316991978E1
9.195385810E-1,3.965999985E1,-1.547999954E1,3.245999908E1,5.353687995E1
9.274731520E-1,4.050000000E1,-1.517999935E1,3.293999863E1,5.436658799E1
9.354077220E-1,4.002000046E1,-1.542000008E1,3.311999893E1,5.418774002E1
9.432507400E-1,3.965999985E1,-1.523999977E1,3.336000061E1,5.401909682E1
9.511547920E-1,3.965999985E1,-1.511999989E1,3.336000061E1,5.398536492E1
9.591198800E-1,3.900000000E1,-1.529999924E1,3.270000076E1,5.314489652E1
9.670239330E-1,3.911999893E1,-1.481999969E1,3.270000076E1,5.309705036E1
9.749585030E-1,3.911999893E1,-1.500000000E1,3.275999832E1,5.318450720E1
9.828625560E-1,3.941999817E1,-1.500000000E1,3.245999908E1,5.322206118E1
9.907666090E-1,3.954000092E1,-1.505999947E1,3.288000107E1,5.358460345E1
9.987011790E-1,3.947999954E1,-1.481999969E1,3.239999771E1,5.317953184E1
1.006635749E0,3.941999817E1,-1.463999939E1,3.245999908E1,5.312172228E1
1.014631355E0,3.923999786E1,-1.434000015E1,3.270000076E1,5.305377542E1
1.022474372E0,3.887999725E1,-1.427999973E1,3.288000107E1,5.288352342E1
1.030408943E0,3.905999756E1,-1.434000015E1,3.288000107E1,5.303219290E1
1.038374031E0,3.887999725E1,-1.457999992E1,3.293999863E1,5.300258573E1
1.046308601E0,3.857999802E1,-1.463999939E1,3.281999969E1,5.272474001E1
1.054273689E0,3.941999817E1,-1.439999962E1,3.270000076E1,5.320325455E1
1.062147224E0,3.947999954E1,-1.451999950E1,3.227999878E1,5.302357090E1
1.070112312E0,3.977999878E1,-1.446000004E1,3.204000092E1,5.308579436E1
1.078077400E0,4.025999832E1,-1.463999939E1,3.239999771E1,5.371179478E1
1.086042488E0,4.007999802E1,-1.500000000E1,3.227999878E1,5.360414687E1
1.093977058E0,4.007999802E1,-1.529999924E1,3.263999939E1,5.390608294E1
1.101850593E0,3.971999741E1,-1.553999996E1,3.257999802E1,5.367146415E1
